,Degree,BetweennessCentrality
Botu00013,139,4450.02058402845
Botu00288,114,2771.47918354669
Botu01137,183,2712.04045832249
Botu01144,164,3033.5939397595
Botu01309,130,3807.52971502211
Botu01811,104,2828.02051204104
Botu00504,138,4044.36724908296
Botu01934,147,3868.88816256608
Botu02654,117,2708.93158923422
Otu00217,109,11054.172822729
Botu00506,106,4778.19051839432
Botu00016,135,4124.43514176365
Botu00049,142,3285.19154256437
Botu00054,160,3568.86539708543
Botu00072,177,3427.02192121068
Botu00107,137,3321.6033011427
Botu00173,177,3552.36168177356
Botu00226,187,2780.37257044904
Botu00239,145,2740.09391374906
Botu00247,159,4887.05499887534
Botu00382,100,5017.12071048464
Botu00455,182,3307.65465287783
Botu00459,139,3834.99361326882
Botu00508,185,3080.26573446287
Botu01092,123,4387.10436306401
Botu01161,102,8325.65413619329
Botu02116,116,3283.06149043719
Botu00082,112,5424.6176906117
Botu00124,168,3224.9886229633
Botu01099,97,6986.54183745019
